Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Criminal_Cases_Count,Has_Criminal_Cases,Assets_Numeric,Liabilities_Numeric,Education_Clean,Party_Type
4955,Nitin Nagnath Gaikwad,OSMANABAD,IND,0,12th Pass,"Rs 1,00,000  ~ 1 Lacs+",Rs 0  ~,0,0,100000.0,0.0,12th Pass,Independent
4956,Nitin Verma,DEWAS (SC),IND,0,12th Pass,,,0,0,,,12th Pass,Independent
4957,Nitish Chandra Roy,COOCH BEHAR (SC),All India Forward Bloc,0,Graduate Professional,"Rs 71,81,048  ~ 71 Lacs+","Rs 5,50,000  ~ 5 Lacs+",0,0,7181048.0,550000.0,Graduate,Regional
4958,Nitish Kumar,SUPAUL,IND,1,Graduate,"Rs 21,06,000  ~ 21 Lacs+","Rs 1,00,000  ~ 1 Lacs+",1,1,2106000.0,100000.0,Graduate,Independent
4959,Nitta Akhila Dharani Pal,ELURU,BSP,0,Doctorate,,,0,0,,,Post Graduate,National
4960,Nityanand Rai,UJIARPUR,BJP,3,Graduate,"Rs 17,95,27,017  ~ 17 Crore+","Rs 14,00,000  ~ 14 Lacs+",3,1,179527017.0,1400000.0,Graduate,National
4961,Nivedita Sharma “Prem”,NORTH EAST DELHI,Rashtrawadi Janlok Party (Satya),1,Graduate,"Rs 1,50,70,736  ~ 1 Crore+","Rs 28,00,000  ~ 28 Lacs+",1,1,15070736.0,2800000.0,Graduate,Regional
4962,Nivrutti Keru Shinde,SATARA,IND,0,Graduate,,,0,0,,,Graduate,Independent
4963,Nivrutti Vishwnath Bansode,JALNA,BSP,0,Graduate Professional,"Rs 44,26,841  ~ 44 Lacs+","Rs 8,00,000  ~ 8 Lacs+",0,0,4426841.0,800000.0,Graduate,National
4964,Noman Alam,PURNIA,IND,0,Literate,"Rs 3,35,200  ~ 3 Lacs+",Rs 0  ~,0,0,335200.0,0.0,Below 5th,Independent
4965,Noor Muhamad A,POLLACHI,IND,0,Illiterate,,,0,0,,,Illiterate,Independent
4966,Noormuhamad A,COIMBATORE,IND,0,Illiterate,"Rs 1,49,49,057  ~ 1 Crore+",Rs 0  ~,0,0,14949057.0,0.0,Illiterate,Independent
4967,Nripendra Narayan Debkarjee,ALIPURDUARS (ST),Kamatapur People’s Party (United),0,12th Pass,"Rs 12,27,126  ~ 12 Lacs+",Rs 0  ~,0,0,1227126.0,0.0,12th Pass,Regional
4968,Nune Venkat Swamy,BHONGIR,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
4969,Nur Alam Khan,JADAVPUR,All India Secular Front,0,Graduate Professional,"Rs 45,00,208  ~ 45 Lacs+","Rs 1,00,000  ~ 1 Lacs+",0,0,4500208.0,100000.0,Graduate,Regional
4970,Nur Ali Mahebub Ali Shah,YAVATMAL - WASHIM,IND,0,10th Pass,"Rs 5,82,700  ~ 5 Lacs+","Rs 6,45,000  ~ 6 Lacs+",0,0,582700.0,645000.0,10th Pass,Independent
4971,Nuri Khan,RAIPUR,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
4972,Nusrat Ansari,GHAZIPUR,IND,0,Post Graduate,"Rs 6,14,30,153  ~ 6 Crore+","Rs 6,94,021  ~ 6 Lacs+",0,0,61430153.0,694021.0,Post Graduate,Independent
4973,Olety Nagendra Krishna,NARSAPURAM,Jaibhim Rao Bharat Party,0,Post Graduate,"Rs 1,25,87,802  ~ 1 Crore+","Rs 89,08,885  ~ 89 Lacs+",0,0,12587802.0,8908885.0,Post Graduate,Regional
4974,Om Birla,KOTA,BJP,0,Post Graduate,,,0,0,,,Post Graduate,National
4975,Om Kumar,NAGINA (SC),BJP,0,12th Pass,"Rs 19,05,29,979  ~ 19 Crore+",Rs 0  ~,0,0,190529979.0,0.0,12th Pass,National
4976,Om Nath Singh,KHERI,Rashtriya Shoshit Samaj Party,0,12th Pass,"Rs 17,00,000  ~ 17 Lacs+",Rs 0  ~,0,0,1700000.0,0.0,12th Pass,Regional
4977,Om Parkash Banka,FARIDKOT (SC),IND,0,10th Pass,,,0,0,,,10th Pass,Independent
4978,Om Parkash Indal,KURUKSHETRA,Global Republican Party,0,Post Graduate,"Rs 2,85,86,361  ~ 2 Crore+",Rs 0  ~,0,0,28586361.0,0.0,Post Graduate,Regional
4979,Om Prakash,HARDOI (SC),IND,0,10th Pass,"Rs 16,32,000  ~ 16 Lacs+","Rs 80,000  ~ 80 Thou+",0,0,1632000.0,80000.0,10th Pass,Independent
4980,Om Prakash,SIKAR,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
4981,Om Prakash Narayan,WEST DELHI,Aapki Apni Party (Peoples),0,Doctorate,"Rs 81,100  ~ 81 Thou+",Rs 0  ~,0,0,81100.0,0.0,Post Graduate,Regional
4982,Om Prakash Poddar,BHAGALPUR,IND,0,Doctorate,"Rs 11,55,000  ~ 11 Lacs+",Rs 0  ~,0,0,1155000.0,0.0,Post Graduate,Independent
4983,Om Prakash Shakyawal,KOTA,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
4984,Om Shankar,EAST DELHI,IND,0,Post Graduate,"Rs 1,69,59,978  ~ 1 Crore+","Rs 62,12,130  ~ 62 Lacs+",0,0,16959978.0,6212130.0,Post Graduate,Independent
4985,Omak Nitik,ARUNACHAL EAST,IND,0,Graduate,"Rs 10,36,674  ~ 10 Lacs+",Rs 0  ~,0,0,1036674.0,0.0,Graduate,Independent
4986,Omaprakash,SOUTH DELHI,Samaj Vikas Kranti Party,0,Graduate,,,0,0,,,Graduate,Regional
4987,Omar Abdullah,BARAMULLA,Jammu & Kashmir National Conference,0,Graduate,"Rs 54,45,000  ~ 54 Lacs+",Rs 0  ~,0,0,5445000.0,0.0,Graduate,Regional
4988,Ombeer,KAIRANA,Azad Adhikar Sena,0,8th Pass,"Rs 13,95,510  ~ 13 Lacs+","Rs 8,55,000  ~ 8 Lacs+",0,0,1395510.0,855000.0,8th Pass,Regional
4989,Omkar,BARABANKI (SC),IND,0,10th Pass,,,0,0,,,10th Pass,Independent
4990,Omkar Singh Markam,MANDLA (ST),INC,0,Post Graduate,"Rs 1,41,09,180  ~ 1 Crore+",Rs 0  ~,0,0,14109180.0,0.0,Post Graduate,National
4991,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,OSMANABAD,ShivSena (Uddhav Balasaheb Thackeray),2,Graduate Professional,"Rs 7,53,25,549  ~ 7 Crore+","Rs 2,51,709  ~ 2 Lacs+",2,1,75325549.0,251709.0,Graduate,Regional
4992,Omprakash Prajapati,KOLKATA UTTAR,BSP,0,12th Pass,,,0,0,,,12th Pass,National
4993,Onkar Singh,MORADABAD,Bharatiya Bahujan Samta Party,0,Graduate Professional,"Rs 4,06,55,000  ~ 4 Crore+","Rs 1,15,000  ~ 1 Lacs+",0,0,40655000.0,115000.0,Graduate,Regional
4994,Orsu Premaraju,NARSARAOPET,BSP,0,10th Pass,"Rs 1,04,000  ~ 1 Lacs+",Rs 0  ~,0,0,104000.0,0.0,10th Pass,National
4995,Orsu Veena,ONGOLE,Jai Bharat National Party,0,12th Pass,,,0,0,,,12th Pass,Regional
4996,Otaram,JALORE,Bharat Adivasi Party,0,Graduate,"Rs 5,38,97,456  ~ 5 Crore+",Rs 0  ~,0,0,53897456.0,0.0,Graduate,Regional
4997,P Arunachalam,TIRUPPUR,AIADMK,0,10th Pass,"Rs 6,17,28,929  ~ 6 Crore+","Rs 35,09,000  ~ 35 Lacs+",0,0,61728929.0,3509000.0,10th Pass,Regional
4998,P Baskaran,SRIPERUMBUDUR,IND,0,8th Pass,,,0,0,,,8th Pass,Independent
4999,P C Linganna,SECUNDERABAD,IND,0,5th Pass,"Rs 15,00,000  ~ 15 Lacs+",Rs 0  ~,0,0,1500000.0,0.0,5th Pass,Independent
5000,P C Mohan,BANGALORE CENTRAL,BJP,2,12th Pass,"Rs 81,30,65,207  ~ 81 Crore+","Rs 15,86,34,664  ~ 15 Crore+",2,1,813065207.0,158634664.0,12th Pass,National
5001,P Eswaran,ERODE,BSP,0,12th Pass,,,0,0,,,12th Pass,National
5002,P Ganesh,ARANI,IND,0,8th Pass,"Rs 17,500  ~ 17 Thou+",Rs 0  ~,0,0,17500.0,0.0,8th Pass,Independent
5003,P Govind,CHEVELLA,Bahujan Mukti Party,0,12th Pass,"Rs 25,000  ~ 25 Thou+","Rs 25,000  ~ 25 Thou+",0,0,25000.0,25000.0,12th Pass,Regional
5004,P Guruvaiah,NANDYAL,IND,0,Illiterate,,,0,0,,,Illiterate,Independent
5005,P Haridas,SRIPERUMBUDUR,IND,0,Graduate,"Rs 11,85,650  ~ 11 Lacs+","Rs 2,05,000  ~ 2 Lacs+",0,0,1185650.0,205000.0,Graduate,Independent
5006,P Janarthanam,TIRUPPUR,Tamilaga Makkal Thannurimai Katchi,0,10th Pass,"Rs 36,45,000  ~ 36 Lacs+",Rs 0  ~,0,0,3645000.0,0.0,10th Pass,Regional
5007,P Jeyaperumal,RAMANATHAPURAM,AIADMK,0,12th Pass,,,0,0,,,12th Pass,Regional
5008,P K Amman G Sivakumar,PERAMBALUR,IND,0,Graduate,"Rs 88,10,651  ~ 88 Lacs+","Rs 17,72,022  ~ 17 Lacs+",0,0,8810651.0,1772022.0,Graduate,Independent
5009,P Karthikeyan,TIRUPPUR,IND,0,Graduate,"Rs 1,85,635  ~ 1 Lacs+","Rs 3,60,000  ~ 3 Lacs+",0,0,185635.0,360000.0,Graduate,Independent
5010,P Krishnammal,KOLLAM,Marxist Communist Party of India (United),0,10th Pass,,,0,0,,,10th Pass,Regional
5011,P Krishnasamy,TENKASI (SC),IND,0,12th Pass,"Rs 6,12,657  ~ 6 Lacs+","Rs 3,19,500  ~ 3 Lacs+",0,0,612657.0,319500.0,12th Pass,Independent
5012,P Kuppusamy,ERODE,Ulzaipali Makkal Katchy,0,12th Pass,"Rs 3,55,000  ~ 3 Lacs+",Rs 0  ~,0,0,355000.0,0.0,12th Pass,Regional
5013,P O Peter,KOTTAYAM,Samajwadi Jan Parishad,0,10th Pass,,,0,0,,,10th Pass,Regional
5014,P Radhakrishnan,KANNIYAKUMARI,BJP,1,Graduate Professional,"Rs 7,63,43,933  ~ 7 Crore+",Rs 0  ~,1,1,76343933.0,0.0,Graduate,National
5015,P Radhakrishnan,WAYANAD,IND,1,12th Pass,"Rs 1,91,300  ~ 1 Lacs+",Rs 0  ~,1,1,191300.0,0.0,12th Pass,Independent
5016,P Rajan,PUDUCHERRY,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
5017,P Rajendran,ERODE,IND,0,5th Pass,"Rs 20,000  ~ 20 Thou+",Rs 0  ~,0,0,20000.0,0.0,5th Pass,Independent
5018,P S Udhayakumar,TIRUVANNAMALAI,IND,0,5th Pass,"Rs 25,07,000  ~ 25 Lacs+","Rs 1,69,000  ~ 1 Lacs+",0,0,2507000.0,169000.0,5th Pass,Independent
5019,P Sankaran,PUDUCHERRY,SUCI(C),0,Graduate Professional,,,0,0,,,Graduate,Regional
5020,P Shanmugam,VELLORE,IND,0,5th Pass,"Rs 8,30,000  ~ 8 Lacs+",Rs 0  ~,0,0,830000.0,0.0,5th Pass,Independent
5021,P Thangaraj,TIRUVANNAMALAI,IND,0,Graduate,"Rs 28,70,000  ~ 28 Lacs+",Rs 0  ~,0,0,2870000.0,0.0,Graduate,Independent
5022,P V A Ananda Sagar,VIZIANAGARAM,IND,0,8th Pass,,,0,0,,,8th Pass,Independent
5023,P V Midhun Reddy,RAJAMPET,YSRCP,0,Post Graduate,"Rs 1,46,85,01,685  ~ 146 Crore+","Rs 56,09,18,969  ~ 56 Crore+",0,0,1468501685.0,560918969.0,Post Graduate,Regional
5024,P Venkatesh,NARSARAOPET,Jaathia Chethi Vruthula Ikya Vedika Party,0,5th Pass,"Rs 11,07,000  ~ 11 Lacs+",Rs 0  ~,0,0,1107000.0,0.0,5th Pass,Regional
5025,P Vijayakumar,ERODE,Tamil Maanila Congress (Moopanar),0,Others,,,0,0,,,Other,Regional
5026,P. Jayaselan,CHENNAI NORTH,IND,0,Post Graduate,"Rs 7,93,158  ~ 7 Lacs+",Rs 0  ~,0,0,793158.0,0.0,Post Graduate,Independent
5027,P. Madhu,CHITTOOR (SC),IND,0,12th Pass,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~,0,0,200000.0,0.0,12th Pass,Independent
5028,P. Marimuthu,CHENNAI NORTH,IND,0,5th Pass,,,0,0,,,5th Pass,Independent
5029,P. P. Chaudhary,PALI,BJP,0,Graduate Professional,"Rs 40,71,76,661  ~ 40 Crore+","Rs 1,94,86,942  ~ 1 Crore+",0,0,407176661.0,19486942.0,Graduate,National
5030,P. S. Yadurappa,MYSORE,IND,0,10th Pass,"Rs 33,09,000  ~ 33 Lacs+",Rs 0  ~,0,0,3309000.0,0.0,10th Pass,Independent
5031,P. Satya Reddy,VISAKHAPATNAM,INC,0,10th Pass,,,0,0,,,10th Pass,National
5032,P. Satya Vani,VISAKHAPATNAM,Pyramid Party of India,0,Post Graduate,"Rs 2,75,10,244  ~ 2 Crore+",Rs 0  ~,0,0,27510244.0,0.0,Post Graduate,Regional
5033,P. Sripathi. Bhat,SHIMOGA,IND,2,8th Pass,"Rs 4,00,222  ~ 4 Lacs+",Rs 0  ~,2,1,400222.0,0.0,8th Pass,Independent
5034,P. Umadevi,CHENNAI NORTH,IND,0,8th Pass,,,0,0,,,8th Pass,Independent
5035,P. Venkatrama Reddy,MEDAK,BRS,1,Post Graduate,"Rs 63,58,47,722  ~ 63 Crore+","Rs 9,80,00,000  ~ 9 Crore+",1,1,635847722.0,98000000.0,Post Graduate,Regional
5036,P.Arjunan,CHENNAI CENTRAL,IND,0,Post Graduate,"Rs 62,80,732  ~ 62 Lacs+","Rs 4,00,000  ~ 4 Lacs+",0,0,6280732.0,400000.0,Post Graduate,Independent
5037,P.C. Narayanan,MALAPPURAM,Bahujan Dravida Party,0,10th Pass,,,0,0,,,10th Pass,Regional
5038,P.Chowdeswari,ANANTHAPUR,IND,0,Graduate,"Rs 3,30,40,267  ~ 3 Crore+","Rs 56,07,058  ~ 56 Lacs+",0,0,33040267.0,5607058.0,Graduate,Independent
5039,P.G.Rampullaiah Yadav,KURNOOL,INC,2,12th Pass,"Rs 10,00,000  ~ 10 Lacs+",Rs 0  ~,2,1,1000000.0,0.0,12th Pass,National
5040,P.Govindarasu,TIRUCHIRAPPALLI,IND,0,Illiterate,,,0,0,,,Illiterate,Independent
5041,P.Janaki Rama Rao ( Babu),CHITTOOR (SC),National Maha Sabha Party,0,Post Graduate,"Rs 61,98,947  ~ 61 Lacs+","Rs 25,85,000  ~ 25 Lacs+",0,0,6198947.0,2585000.0,Post Graduate,Regional
5042,P.K. Sajeevan,IDUKKI,IND,0,8th Pass,"Rs 1,02,47,000  ~ 1 Crore+",Rs 0  ~,0,0,10247000.0,0.0,8th Pass,Independent
5043,P.Karuppaiah,TIRUCHIRAPPALLI,AIADMK,1,Graduate,,,1,1,,,Graduate,Regional
5044,P.Murugesan,TIRUCHIRAPPALLI,IND,0,Literate,"Rs 19,50,000  ~ 19 Lacs+",Rs 0  ~,0,0,1950000.0,0.0,Below 5th,Independent
5045,P.Panneerselvam,TIRUCHIRAPPALLI,IND,0,5th Pass,"Rs 4,50,000  ~ 4 Lacs+",Rs 0  ~,0,0,450000.0,0.0,5th Pass,Independent
5046,P.R Krishnankutty,WAYANAD,BSP,1,5th Pass,,,1,1,,,5th Pass,National
5047,P.Rajendran,TIRUCHIRAPPALLI,IND,0,10th Pass,"Rs 10,000  ~ 10 Thou+",Rs 0  ~,0,0,10000.0,0.0,10th Pass,Independent
5048,P.Sasikumar,TIRUCHIRAPPALLI,IND,0,Graduate Professional,"Rs 19,40,000  ~ 19 Lacs+","Rs 9,40,760  ~ 9 Lacs+",0,0,1940000.0,940760.0,Graduate,Independent
5049,P.Senthilnathan,TIRUCHIRAPPALLI,Amma Makkal Munnettra Kazagam,2,Post Graduate,,,2,1,,,Post Graduate,Regional
5050,P.Vijayakumar,TIRUCHIRAPPALLI,IND,0,12th Pass,"Rs 50,15,404  ~ 50 Lacs+","Rs 1,80,548  ~ 1 Lacs+",0,0,5015404.0,180548.0,12th Pass,Independent
5051,Pa.Ya. Ganesh,KOPPAL,IND,2,Graduate,"Rs 61,998  ~ 61 Thou+","Rs 2,24,000  ~ 2 Lacs+",2,1,61998.0,224000.0,Graduate,Independent
5052,Paban Mazumder,HOOGHLY,SUCI(C),0,Graduate,,,0,0,,,Graduate,Regional
5053,Padhiyar Jashpalsinh Mahendrasinh (Bapu),VADODARA,INC,0,12th Pass,"Rs 6,17,80,052  ~ 6 Crore+","Rs 64,88,192  ~ 64 Lacs+",0,0,61780052.0,6488192.0,12th Pass,National
5054,Padiga Yarraiah,MAHABUBABAD (ST),IND,6,Illiterate,"Rs 21,02,000  ~ 21 Lacs+",Rs 0  ~,6,1,2102000.0,0.0,Illiterate,Independent
5055,Padma Rao . T,SECUNDERABAD,BRS,3,10th Pass,,,3,1,,,10th Pass,Regional
5056,Padmaraj.R.Poojary,DAKSHINA KANNADA,INC,0,Graduate Professional,"Rs 1,83,37,586  ~ 1 Crore+","Rs 1,26,50,000  ~ 1 Crore+",0,0,18337586.0,12650000.0,Graduate,National
5057,Padmarajan. K. Dr.,DHARMAPURI,IND,0,Post Graduate,"Rs 15,11,000  ~ 15 Lacs+",Rs 0  ~,0,0,1511000.0,0.0,Post Graduate,Independent
5058,Pagadala Kodanda,KURNOOL,IND,0,5th Pass,,,0,0,,,5th Pass,Independent
5059,Pagidipalli Shyamson,SECUNDERABAD,Viduthalai Chiruthaigal Katchi,0,10th Pass,"Rs 96,000  ~ 96 Thou+",Rs 0  ~,0,0,96000.0,0.0,10th Pass,Regional
5060,Paithara Achyuth,WARANGAL (SC),IND,1,Others,"Rs 13,99,000  ~ 13 Lacs+","Rs 4,00,000  ~ 4 Lacs+",1,1,1399000.0,400000.0,Other,Independent
5061,Pakira Ramulu,NAGARKURNOOL (SC),IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
5062,Pala Ram,BATHINDA,IND,0,5th Pass,"Rs 12,80,000  ~ 12 Lacs+",Rs 0  ~,0,0,1280000.0,0.0,5th Pass,Independent
5063,Pala Ram Saini,KURUKSHETRA,Jannayak Janta Party,0,Graduate,"Rs 20,57,000  ~ 20 Lacs+",Rs 0  ~,0,0,2057000.0,0.0,Graduate,Regional
5064,Paladhi Nagaraju,NAGARKURNOOL (SC),IND,0,Graduate,,,0,0,,,Graduate,Independent
5065,Paladugu Vijendra Rao,BAPATLA (SC),Liberation Congress Party,0,Graduate,"Rs 11,20,500  ~ 11 Lacs+","Rs 2,80,000  ~ 2 Lacs+",0,0,1120500.0,280000.0,Graduate,Regional
5066,Palaka Sreerama Murthy,ANAKAPALLE,BSP,0,Doctorate,"Rs 78,987  ~ 78 Thou+",Rs 0  ~,0,0,78987.0,0.0,Post Graduate,National
5067,Palamakula Madhu,CHEVELLA,India Praja Bandhu Party,0,10th Pass,,,0,0,,,10th Pass,Regional
5068,Palamuri Sai Nikhil,NIZAMABAD,IND,0,Graduate Professional,"Rs 4,00,000  ~ 4 Lacs+","Rs 9,00,000  ~ 9 Lacs+",0,0,400000.0,900000.0,Graduate,Independent
5069,Palan Singh,KORBA,IND,0,8th Pass,"Rs 10,02,000  ~ 10 Lacs+","Rs 1,00,000  ~ 1 Lacs+",0,0,1002000.0,100000.0,8th Pass,Independent
5070,Palani. K.,DHARMAPURI,IND,0,8th Pass,,,0,0,,,8th Pass,Independent
5071,Palanichamy P,VIRUDHUNAGAR,Bahujan Dravida Party,0,Post Graduate,"Rs 6,15,000  ~ 6 Lacs+",Rs 0  ~,0,0,615000.0,0.0,Post Graduate,Regional
5072,Palanisamy K,VIRUDHUNAGAR,IND,0,Graduate Professional,"Rs 54,20,000  ~ 54 Lacs+",Rs 0  ~,0,0,5420000.0,0.0,Graduate,Independent
5073,Palanisamy K,DINDIGUL,IND,0,Literate,,,0,0,,,Below 5th,Independent
5074,Palanisamy. N.A,KARUR,IND,0,10th Pass,"Rs 10,58,300  ~ 10 Lacs+",Rs 0  ~,0,0,1058300.0,0.0,10th Pass,Independent
5075,Palanisamyraaj M,COIMBATORE,IND,0,10th Pass,"Rs 19,42,630  ~ 19 Lacs+",Rs 0  ~,0,0,1942630.0,0.0,10th Pass,Independent
5076,Palanivel K,SALEM,IND,0,5th Pass,,,0,0,,,5th Pass,Independent
5077,Palanivel. P,KARUR,IND,0,Graduate Professional,"Rs 6,50,000  ~ 6 Lacs+",Rs 0  ~,0,0,650000.0,0.0,Graduate,Independent
5078,Palaniyammal S,KALLAKURICHI,Desiya Makkal Sakthi Katchi,0,8th Pass,"Rs 5,25,000  ~ 5 Lacs+",Rs 0  ~,0,0,525000.0,0.0,8th Pass,Regional
5079,Palaniyappan R,SIVAGANGA,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
5080,Palash Bachar,HOWRAH,BSP,0,10th Pass,"Rs 24,00,000  ~ 24 Lacs+",Rs 0  ~,0,0,2400000.0,0.0,10th Pass,National
5081,Palash Chandra Mahato,RAIGANJ,IND,0,12th Pass,"Rs 20,000  ~ 20 Thou+","Rs 15,000  ~ 15 Thou+",0,0,20000.0,15000.0,12th Pass,Independent
5082,Pallab Pegu,LAKHIMPUR,SUCI(C),0,Graduate,,,0,0,,,Graduate,Regional
5083,Pallavi Shrinivas Dempo,SOUTH GOA,BJP,0,Post Graduate,"Rs 13,61,68,38,731  ~ 1361 Crore+","Rs 2,06,62,354  ~ 2 Crore+",0,0,13616838731.0,20662354.0,Post Graduate,National
5084,Pallipattu Abhinav Vishnu,CHITTOOR (SC),SP,0,Post Graduate,"Rs 91,000  ~ 91 Thou+",Rs 0  ~,0,0,91000.0,0.0,Post Graduate,Regional
5085,Pampari Narender,SECUNDERABAD,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
5086,Pamula Bala Sowryamma,MACHILIPATNAM,IND,0,Others,"Rs 1,60,216  ~ 1 Lacs+",Rs 0  ~,0,0,160216.0,0.0,Other,Independent
5087,Pancha Alias Panchamlal,BANDA,Bhagidari Party(P),1,Literate,"Rs 36,20,000  ~ 36 Lacs+",Rs 0  ~,1,1,3620000.0,0.0,Below 5th,Regional
5088,Panchashila Babulal Jadhav,AURANGABAD,Republican Bahujan Sena,0,8th Pass,,,0,0,,,8th Pass,Regional
5089,Panchavarnam V,RAMANATHAPURAM,IND,0,10th Pass,"Rs 50,115  ~ 50 Thou+",Rs 0  ~,0,0,50115.0,0.0,10th Pass,Independent
5090,Panchshil Vikram Kamble,LATUR (SC),IND,1,Graduate Professional,"Rs 21,27,000  ~ 21 Lacs+","Rs 4,39,000  ~ 4 Lacs+",1,1,2127000.0,439000.0,Graduate,Independent
5091,Pandey Dharmendra Rammurat,MUMBAI NORTH,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
5092,Pandikumar S,THENI,IND,2,Post Graduate,"Rs 11,14,000  ~ 11 Lacs+","Rs 4,96,188  ~ 4 Lacs+",2,1,1114000.0,496188.0,Post Graduate,Independent
5093,Pandit Anil Upadhyay,KURUKSHETRA,IND,0,8th Pass,"Rs 1,12,32,807  ~ 1 Crore+","Rs 35,000  ~ 35 Thou+",0,0,11232807.0,35000.0,8th Pass,Independent
5094,Pandit Brajesh Khemariya,HOSHANGABAD,IND,0,Others,,,0,0,,,Other,Independent
5095,Pandit Divyendra Brijmohan Dubey Advocate,HOSHANGABAD,Bharatiya Yuva Jan Ekta Party,0,Post Graduate,"Rs 1,37,96,510  ~ 1 Crore+",Rs 0  ~,0,0,13796510.0,0.0,Post Graduate,Regional
5096,Pandit Sumit Kumar Sharma,FARIDABAD,AARAKSHAN VIRODHI PARTY,0,12th Pass,"Rs 9,92,000  ~ 9 Lacs+","Rs 55,000  ~ 55 Thou+",0,0,992000.0,55000.0,12th Pass,Regional
5097,Panditi Gurappa,KADAPA,BSP,0,Others,,,0,0,,,Other,National
5098,Pandiyammal R,VIRUDHUNAGAR,IND,0,5th Pass,"Rs 1,07,55,000  ~ 1 Crore+","Rs 5,91,000  ~ 5 Lacs+",0,0,10755000.0,591000.0,5th Pass,Independent
5099,Pandiyan P,MADURAI,SUCI(C),0,5th Pass,"Rs 8,61,600  ~ 8 Lacs+","Rs 70,000  ~ 70 Thou+",0,0,861600.0,70000.0,5th Pass,Regional
5100,Pandiyan S,MADURAI,Bahujan Dravida Party,0,Post Graduate,,,0,0,,,Post Graduate,Regional
5101,Pandiyarajan S,MAYILADUTHURAI,IND,0,Graduate Professional,"Rs 67,345  ~ 67 Thou+","Rs 3,12,624  ~ 3 Lacs+",0,0,67345.0,312624.0,Graduate,Independent
5102,Pandor Kaushikkumar Shankarbhai,PANCHMAHAL,IND,0,Graduate Professional,"Rs 66,65,000  ~ 66 Lacs+",Rs 0  ~,0,0,6665000.0,0.0,Graduate,Independent
5103,Pandor Kaushikkumar Shankarbhai,SABARKANTHA,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
5104,Pandu Ranga Yadav Siddapu,NANDYAL,SP,0,Others,"Rs 26,00,000  ~ 26 Lacs+",Rs 0  ~,0,0,2600000.0,0.0,Other,Regional
5105,Pandurang Bhagwan Waghole,SHIRUR,IND,0,10th Pass,"Rs 20,92,198  ~ 20 Lacs+",Rs 0  ~,0,0,2092198.0,0.0,10th Pass,Independent
5106,Pandurang Rama Adgulwar,NANDED,BSP,0,8th Pass,,,0,0,,,8th Pass,National
5107,Pandurang Raosaheb Bhosale,SANGLI,Bharatheeya Jawan Kisan Party,0,12th Pass,"Rs 2,83,79,890  ~ 2 Crore+","Rs 6,50,700  ~ 6 Lacs+",0,0,28379890.0,650700.0,12th Pass,Regional
5108,Panjab Uttamrao Dakh,PARBHANI,Vanchit Bahujan Aaghadi,0,12th Pass,"Rs 71,27,300  ~ 71 Lacs+","Rs 11,70,250  ~ 11 Lacs+",0,0,7127300.0,1170250.0,12th Pass,Regional
5109,Pankaj Awasthi,FATEHPUR,IND,0,Others,,,0,0,,,Other,Independent
5110,Pankaj Chaudhary,MAHARAJGANJ,BJP,0,12th Pass,"Rs 41,90,10,509  ~ 41 Crore+","Rs 3,82,47,129  ~ 3 Crore+",0,0,419010509.0,38247129.0,12th Pass,National
5111,Pankaj Dubey,BASTI,Log Party,0,Post Graduate,"Rs 22,09,855  ~ 22 Lacs+","Rs 8,36,000  ~ 8 Lacs+",0,0,2209855.0,836000.0,Post Graduate,Regional
5112,Pankaj Gopalrao Wakharadakar,LATUR (SC),IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
5113,Pankaj Islary,KOKRAJHAR (ST),IND,0,Graduate,"Rs 60,30,000  ~ 60 Lacs+",Rs 0  ~,0,0,6030000.0,0.0,Graduate,Independent
5114,Pankaj Kumar,MUNGER,IND,0,12th Pass,"Rs 44,53,266  ~ 44 Lacs+","Rs 1,81,476  ~ 1 Lacs+",0,0,4453266.0,181476.0,12th Pass,Independent
5115,Pankaj Kumar Halder,MATHURAPUR (SC),BSP,0,Graduate,,,0,0,,,Graduate,National
5116,Pankaj Kumar Ravi,RANCHI,Peoples Party of India (Democratic),1,Graduate Professional,"Rs 1,97,04,520  ~ 1 Crore+","Rs 5,13,444  ~ 5 Lacs+",1,1,19704520.0,513444.0,Graduate,Regional
5117,Pankaj Kumar Yadav,AZAMGARH,IND,0,Post Graduate,"Rs 8,15,000  ~ 8 Lacs+",Rs 0  ~,0,0,815000.0,0.0,Post Graduate,Independent
5118,Pankaj Maurya (Kushwaha),KHAJURAHO,Gondvana Gantantra Party,0,Post Graduate,,,0,0,,,Post Graduate,Regional
